epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0434,0.9919,2.12468,2.97875,1.25434,0.25003,0.39504,0.28021,0.19098,0.25847,0.41032,0.28376,0.18017,1.02948,2.04177,2.27262,1.26275,0.000173142,0.000173142,0.000173142
2,35.8283,0.91612,1.79578,2.13427,1.16235,0.23741,0.25868,0.20315,0.14248,0.28131,0.25691,0.21115,0.12822,1.15585,2.70196,3.099,1.43031,0.00034675,0.00034675,0.00034675
3,53.8966,1.00397,1.93147,2.09655,1.22574,0.34577,0.26577,0.22121,0.13883,0.3669,0.27574,0.22697,0.12907,1.2663,2.92587,2.64909,1.49598,0.000518623,0.000518623,0.000518623
4,71.742,1.02449,1.97788,2.02396,1.23257,0.21181,0.39892,0.23092,0.14093,0.46333,0.24027,0.22572,0.138,1.15818,2.44864,2.33099,1.38382,0.000518189,0.000518189,0.000518189
5,89.546,1.02258,1.91511,1.98375,1.2323,0.3072,0.34611,0.26175,0.17859,0.31421,0.34843,0.26796,0.16854,1.12518,2.33555,2.35044,1.36395,0.000515585,0.000515585,0.000515585
6,106.819,0.95155,1.75171,1.80756,1.19035,0.30934,0.3661,0.31652,0.216,0.30289,0.36465,0.30456,0.18874,1.10984,2.4698,2.07776,1.33383,0.000512981,0.000512981,0.000512981
7,124.527,0.97107,1.7638,1.78631,1.19273,0.34285,0.3405,0.30583,0.20157,0.33656,0.34777,0.30659,0.18975,1.1165,2.18431,2.05391,1.37557,0.000510378,0.000510378,0.000510378
8,141.853,0.91802,1.64837,1.68822,1.16538,0.49499,0.3485,0.32797,0.21866,0.49523,0.34574,0.32678,0.21573,1.13537,2.15582,2.02708,1.39758,0.000507774,0.000507774,0.000507774
9,158.983,0.89989,1.59844,1.62989,1.16149,0.27123,0.46201,0.32338,0.23097,0.28559,0.43881,0.32981,0.22243,1.05424,2.02475,1.96013,1.31444,0.00050517,0.00050517,0.00050517
10,176.589,0.85926,1.58015,1.55637,1.13841,0.30049,0.43041,0.32237,0.22754,0.33068,0.40255,0.32854,0.2205,1.09101,2.01262,2.01607,1.3446,0.000502567,0.000502567,0.000502567
11,194.745,0.85776,1.49597,1.52843,1.13163,0.29339,0.4308,0.33696,0.23749,0.2958,0.41305,0.34038,0.22641,1.08465,2.02117,1.88961,1.32781,0.000499963,0.000499963,0.000499963
12,225.271,0.82676,1.46047,1.43749,1.1111,0.39289,0.44632,0.35513,0.23775,0.42345,0.45457,0.3638,0.22358,1.07334,2.07628,1.93694,1.33912,0.000497359,0.000497359,0.000497359
13,242.718,0.80616,1.44668,1.38175,1.09751,0.45075,0.34859,0.32956,0.22934,0.46256,0.35367,0.3349,0.22031,1.0737,1.99692,1.89799,1.32527,0.000494756,0.000494756,0.000494756
14,260.123,0.80076,1.36585,1.33634,1.09306,0.34507,0.4061,0.32156,0.23527,0.34417,0.40562,0.32279,0.22283,0.9992,2.06309,1.91047,1.2733,0.000492152,0.000492152,0.000492152
15,277.13,0.7794,1.37552,1.3293,1.07912,0.40602,0.33571,0.35637,0.26012,0.41749,0.34344,0.36475,0.25475,1.10121,2.06128,1.95491,1.37037,0.000489548,0.000489548,0.000489548
16,294.433,0.77571,1.35439,1.26025,1.08374,0.38843,0.4231,0.36652,0.26267,0.38412,0.42807,0.3776,0.25757,1.13089,2.0838,1.85014,1.36118,0.000486945,0.000486945,0.000486945
17,311.515,0.76208,1.3044,1.18817,1.0733,0.3889,0.41519,0.356,0.26167,0.39707,0.42672,0.36701,0.2557,1.01742,1.94738,1.89269,1.28769,0.000484341,0.000484341,0.000484341
18,328.869,0.74958,1.24598,1.20686,1.06466,0.42063,0.43175,0.39174,0.28512,0.42646,0.41346,0.399,0.27675,1.02255,2.04996,1.88501,1.32341,0.000481737,0.000481737,0.000481737
19,345.966,0.71292,1.24938,1.10449,1.03862,0.47766,0.37667,0.3647,0.25836,0.48491,0.38481,0.37609,0.25674,1.05776,1.96964,1.89668,1.31312,0.000479133,0.000479133,0.000479133
20,363.369,0.74088,1.26559,1.13062,1.06,0.427,0.43977,0.35926,0.25188,0.43281,0.45117,0.36967,0.24969,1.0681,1.94867,1.86299,1.33627,0.00047653,0.00047653,0.00047653
21,380.37,0.72343,1.20055,1.07673,1.0366,0.41901,0.36585,0.35601,0.25625,0.40871,0.37229,0.35958,0.24568,1.07224,2.15689,2.02049,1.36999,0.000473926,0.000473926,0.000473926
22,397.556,0.71437,1.22291,1.04986,1.03936,0.45292,0.30316,0.30858,0.22256,0.45964,0.30429,0.31505,0.21772,1.04717,2.12664,2.19681,1.32742,0.000471322,0.000471322,0.000471322
23,414.582,0.68184,1.13576,0.99821,1.01956,0.36119,0.39605,0.35668,0.2586,0.45271,0.34398,0.36863,0.25667,1.05601,2.02574,1.87807,1.35307,0.000468719,0.000468719,0.000468719
24,431.75,0.68179,1.15143,0.96954,1.02185,0.48713,0.37045,0.39895,0.29854,0.49012,0.37433,0.40949,0.29032,1.01875,1.8743,1.80874,1.30619,0.000466115,0.000466115,0.000466115
25,448.935,0.67803,1.13201,0.94666,1.01266,0.57272,0.36313,0.39694,0.28558,0.59031,0.37641,0.40834,0.27919,1.03604,1.95857,1.88132,1.32577,0.000463511,0.000463511,0.000463511
26,465.974,0.67063,1.11812,0.9324,1.01013,0.41806,0.3583,0.35062,0.25038,0.41287,0.35747,0.35178,0.24657,1.06762,2.01612,2.00699,1.36424,0.000460907,0.000460907,0.000460907
27,483.265,0.66891,1.13267,0.91448,1.00444,0.38995,0.4132,0.35621,0.25596,0.40049,0.41638,0.36389,0.24627,1.06907,2.03466,2.09286,1.34422,0.000458304,0.000458304,0.000458304
