epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9016,1.12008,1.75967,1.4731,0.38078,0.37638,0.33546,0.20313,1.36661,2.92373,1.90031,0.000369221,0.000369221,0.000369221
2,100.821,1.2532,1.7065,1.55353,0.35487,0.348,0.3307,0.19601,1.46182,2.08647,1.87171,0.000724911,0.000724911,0.000724911
3,149.99,1.24535,1.66817,1.54456,0.4267,0.46395,0.44795,0.28038,1.33043,1.5368,1.72343,0.00106594,0.00106594,0.00106594
4,199.139,1.19452,1.52625,1.49927,0.45208,0.52135,0.49333,0.3131,1.2297,1.45379,1.61757,0.00104501,0.00104501,0.00104501
5,248.219,1.11688,1.41982,1.4509,0.51942,0.54016,0.53971,0.36826,1.10629,1.25486,1.51198,0.00102301,0.00102301,0.00102301
6,297.799,1.07509,1.31244,1.41065,0.56017,0.5073,0.56231,0.38156,1.11362,1.15643,1.52092,0.00100101,0.00100101,0.00100101
7,425.76,1.04196,1.24933,1.38982,0.54362,0.54071,0.58747,0.39524,1.12088,1.1642,1.54048,0.000979013,0.000979013,0.000979013
8,2249.55,1.01008,1.18737,1.36688,0.52573,0.57852,0.59031,0.41695,1.0769,1.14325,1.50522,0.000957015,0.000957015,0.000957015
9,2311.91,0.98623,1.13083,1.35029,0.61688,0.55231,0.60814,0.44155,0.99666,1.03758,1.41377,0.000935018,0.000935018,0.000935018
10,2360.88,0.96253,1.08026,1.33663,0.79355,0.54394,0.58613,0.42186,1.00338,0.95727,1.4126,0.00091302,0.00091302,0.00091302
11,2409.85,0.94319,1.05464,1.32182,0.55061,0.59795,0.59304,0.43218,1.02359,1.1218,1.44576,0.000891022,0.000891022,0.000891022
12,2458.89,0.92289,1.00104,1.30548,0.56409,0.59572,0.62192,0.4549,0.97839,1.00334,1.40012,0.000869024,0.000869024,0.000869024
13,2508.17,0.91539,0.98433,1.29672,0.60621,0.58111,0.64485,0.47468,0.99373,0.91471,1.38986,0.000847026,0.000847026,0.000847026
14,2557.37,0.90017,0.96443,1.28463,0.5631,0.58282,0.61827,0.45637,0.97239,1.0006,1.41384,0.000825029,0.000825029,0.000825029
15,2606.5,0.8878,0.92268,1.27344,0.62156,0.61012,0.65935,0.49112,0.92212,0.90348,1.34747,0.000803031,0.000803031,0.000803031
16,2655.57,0.87057,0.8927,1.26671,0.61194,0.62288,0.66568,0.48909,0.98074,0.89338,1.38935,0.000781033,0.000781033,0.000781033
17,2705.01,0.85394,0.86116,1.24975,0.57808,0.60153,0.63452,0.46287,0.97445,0.99731,1.39335,0.000759035,0.000759035,0.000759035
18,2753.99,0.84772,0.84728,1.2516,0.5939,0.61591,0.65577,0.47826,0.93726,0.94194,1.36484,0.000737037,0.000737037,0.000737037
19,2802.96,0.82919,0.83196,1.23561,0.61133,0.65831,0.68885,0.5085,0.92131,0.83482,1.35235,0.00071504,0.00071504,0.00071504
20,2852.24,0.83063,0.81975,1.23933,0.82763,0.60739,0.67081,0.48948,0.92413,0.8942,1.35273,0.000693042,0.000693042,0.000693042
21,2901.24,0.81637,0.79815,1.22617,0.57107,0.60982,0.64606,0.48427,0.95745,0.98101,1.39851,0.000671044,0.000671044,0.000671044
22,2950.24,0.81463,0.78053,1.21945,0.65299,0.61113,0.68494,0.50942,0.90171,0.93913,1.3236,0.000649046,0.000649046,0.000649046
23,2999.23,0.79573,0.74376,1.2112,0.60293,0.61763,0.66825,0.50159,0.89958,0.87743,1.33246,0.000627048,0.000627048,0.000627048
24,3048.21,0.78236,0.72729,1.20182,0.62316,0.64787,0.69062,0.52304,0.91004,0.82744,1.3342,0.000605051,0.000605051,0.000605051
25,3097.19,0.77309,0.71606,1.19452,0.6378,0.61367,0.66251,0.49562,0.93221,0.86347,1.36002,0.000583053,0.000583053,0.000583053
26,3146.13,0.77322,0.7233,1.19607,0.61393,0.67024,0.70592,0.53963,0.85569,0.73515,1.292,0.000561055,0.000561055,0.000561055
27,3195.15,0.75512,0.69143,1.18469,0.64149,0.62543,0.67527,0.50826,0.90033,0.98505,1.33285,0.000539057,0.000539057,0.000539057
28,3244.2,0.75074,0.67665,1.18084,0.64385,0.60926,0.69277,0.52046,0.93343,0.87133,1.35768,0.000517059,0.000517059,0.000517059
29,3293.23,0.75054,0.66093,1.17535,0.59928,0.72932,0.70443,0.52974,0.91127,0.85821,1.34844,0.000495062,0.000495062,0.000495062
30,3342.25,0.73616,0.65295,1.16807,0.59825,0.67881,0.70081,0.53009,0.91013,0.88636,1.34938,0.000473064,0.000473064,0.000473064
31,3391.24,0.72695,0.6413,1.16623,0.6435,0.62091,0.68989,0.51856,0.8891,0.81102,1.33805,0.000451066,0.000451066,0.000451066
32,3440.29,0.71977,0.62395,1.15756,0.6549,0.65666,0.71082,0.53183,0.89925,0.82378,1.34644,0.000429068,0.000429068,0.000429068
33,3489.23,0.71307,0.61221,1.1556,0.65419,0.65697,0.70468,0.5341,0.88975,0.82767,1.33733,0.00040707,0.00040707,0.00040707
