epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8031,1.29024,2.5016,1.68221,1.47703,0.23917,0.47452,0.16049,0.07123,0.23114,0.4586,0.14566,0.05429,1.61359,8.35849,23.5812,3.09643,0.000660256,0.000660256,0.000660256
2,46.4235,1.55146,2.46004,1.66703,1.61907,0.48658,0.38535,0.36085,0.17277,0.4872,0.38217,0.34959,0.16597,1.9301,4.32969,4.75796,2.19947,0.00131379,0.00131379,0.00131379
3,69.0253,1.58672,2.5353,1.63523,1.62488,0.38028,0.43775,0.32287,0.14635,0.38871,0.42994,0.32401,0.14764,1.86166,2.99565,7.26388,2.18224,0.00195412,0.00195412,0.00195412
4,91.5116,1.54221,2.51112,1.5843,1.59534,0.21682,0.18603,0.11397,0.04765,0.17378,0.18471,0.10324,0.04119,nan,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,114,1.45313,2.42611,1.46653,1.51696,0.56336,0.41083,0.4313,0.20963,0.57363,0.39809,0.42811,0.22243,1.92013,2.63412,2.5069,1.98259,0.0019208,0.0019208,0.0019208
6,137.477,1.4136,2.32957,1.39353,1.4926,0.71451,0.65287,0.66361,0.40119,0.70838,0.6465,0.64873,0.38774,1.4255,2.21646,1.50756,1.56995,0.001901,0.001901,0.001901
7,160.333,1.35757,2.25423,1.34848,1.46653,0.70918,0.67516,0.68357,0.42379,0.71854,0.65856,0.6785,0.40825,1.40974,2.17132,1.28346,1.5243,0.0018812,0.0018812,0.0018812
8,183,1.31081,2.16152,1.23731,1.43913,0.82807,0.61783,0.71017,0.45726,0.8089,0.61465,0.7004,0.42233,1.30107,2.08179,1.2329,1.4883,0.0018614,0.0018614,0.0018614
9,205.58,1.30874,2.18408,1.26904,1.42072,0.75908,0.65605,0.67494,0.41012,0.74763,0.6465,0.66667,0.40666,1.35243,2.02537,1.3293,1.5158,0.0018416,0.0018416,0.0018416
10,228.631,1.25632,2.07932,1.19682,1.40188,0.83099,0.67834,0.7599,0.46992,0.82476,0.68153,0.74581,0.42985,1.26046,2.08114,1.13286,1.42984,0.0018218,0.0018218,0.0018218
11,251.214,1.22375,2.0391,1.12711,1.37337,0.86014,0.66594,0.75952,0.4856,0.85689,0.64968,0.73151,0.43188,1.272,2.13465,1.11186,1.43658,0.001802,0.001802,0.001802
12,273.737,1.23889,2.09805,1.1395,1.38796,0.75454,0.67551,0.71511,0.47892,0.82352,0.64968,0.71681,0.44866,1.22313,1.84946,1.16137,1.39537,0.0017822,0.0017822,0.0017822
13,296.519,1.19683,2.04633,1.10832,1.36804,0.82115,0.68153,0.74893,0.49661,0.83447,0.66561,0.73543,0.46918,1.26747,2.02805,1.09486,1.41496,0.0017624,0.0017624,0.0017624
14,319.221,1.19889,2.03051,1.09114,1.37466,0.87913,0.63694,0.75645,0.49909,0.85201,0.63376,0.72473,0.45655,1.25092,1.94787,1.03447,1.40166,0.0017426,0.0017426,0.0017426
15,341.565,1.15872,1.91177,1.0478,1.33372,0.83353,0.72293,0.77185,0.52233,0.83353,0.72293,0.76512,0.49197,1.14127,1.77717,1.03155,1.32323,0.0017228,0.0017228,0.0017228
16,364.795,1.16769,1.9449,1.0076,1.35152,0.86461,0.67117,0.77623,0.51697,0.88237,0.66879,0.78674,0.50371,1.17582,1.79945,0.99588,1.35381,0.001703,0.001703,0.001703
17,387.249,1.14112,1.90812,1.02091,1.3162,0.85959,0.71656,0.79131,0.55255,0.84734,0.70705,0.77309,0.50621,1.05974,1.70335,0.90125,1.28428,0.0016832,0.0016832,0.0016832
18,409.862,1.10907,1.89028,1.00346,1.29919,0.80024,0.71447,0.77688,0.5384,0.79311,0.7081,0.76368,0.50268,1.09769,1.79222,0.9411,1.28797,0.0016634,0.0016634,0.0016634
19,432.295,1.12412,1.8538,0.97332,1.30432,0.89114,0.69427,0.7888,0.54315,0.88691,0.6993,0.78321,0.52452,1.14053,1.75254,0.90856,1.33082,0.0016436,0.0016436,0.0016436
20,455.605,1.10158,1.81872,0.96401,1.29382,0.79833,0.70598,0.76528,0.51941,0.80324,0.71338,0.76625,0.5011,1.18666,1.70973,0.99715,1.35147,0.0016238,0.0016238,0.0016238
21,477.935,1.08466,1.823,0.94907,1.28768,0.8578,0.73003,0.80906,0.5793,0.87711,0.7293,0.80306,0.54493,1.03449,1.84329,0.84697,1.24372,0.001604,0.001604,0.001604
22,500.477,1.04448,1.77214,0.8973,1.25509,0.90027,0.7293,0.82073,0.57372,0.89216,0.72293,0.80586,0.55087,1.07182,1.61514,0.83193,1.25546,0.0015842,0.0015842,0.0015842
23,522.933,1.04556,1.75694,0.91504,1.26514,0.86486,0.73373,0.82067,0.58573,0.87334,0.73248,0.80622,0.52798,1.01151,1.72387,0.82684,1.26759,0.0015644,0.0015644,0.0015644
24,545.27,1.06908,1.80822,0.93252,1.27585,0.85671,0.76167,0.82255,0.56737,0.85313,0.75848,0.81304,0.536,1.09213,1.68842,0.81579,1.29408,0.0015446,0.0015446,0.0015446
25,567.728,1.03636,1.76299,0.88015,1.25662,0.88498,0.70064,0.809,0.57134,0.90053,0.69195,0.79909,0.53865,1.05787,1.69127,0.83598,1.26339,0.0015248,0.0015248,0.0015248
26,590.124,1.04953,1.74861,0.87708,1.26875,0.8961,0.74158,0.8301,0.60159,0.86188,0.73567,0.81062,0.56569,0.99984,1.58746,0.79094,1.24549,0.001505,0.001505,0.001505
27,612.539,0.99756,1.68605,0.84681,1.23149,0.85221,0.7293,0.81406,0.58305,0.86742,0.71975,0.81099,0.54638,1.04072,1.67168,0.81889,1.26121,0.0014852,0.0014852,0.0014852
