epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7904,1.30629,2.53998,1.6455,1.47154,0.22677,0.29142,0.18935,0.09313,0.15403,0.16561,0.08444,0.02272,2.04453,4.86682,4.86573,3.69342,0.000660256,0.000660256,0.000660256
2,47.1179,1.57306,2.49039,1.64754,1.63534,0.0502,0.05414,0.0117,0.00425,0.05983,0.07006,0.01155,0.00343,3.11307,7.32961,7.1564,6.51468,0.00130065,0.00130065,0.00130065
3,69.3772,1.56535,2.4924,1.64774,1.62401,0.49622,0.43949,0.40893,0.19937,0.48417,0.41252,0.36571,0.1393,1.78337,3.41777,3.23844,2.05296,0.00191464,0.00191464,0.00191464
4,91.6204,1.46092,2.37548,1.49365,1.5317,0.66043,0.55096,0.56073,0.29338,0.66095,0.54777,0.54214,0.2617,1.6475,2.89528,2.61576,1.88278,0.0018812,0.0018812,0.0018812
5,113.778,1.37503,2.27634,1.37535,1.47013,0.44839,0.38854,0.34959,0.16322,0.44935,0.28025,0.26883,0.1066,1.8937,4.49132,3.32672,2.15315,0.0018416,0.0018416,0.0018416
6,136.002,1.3843,2.30971,1.34946,1.48844,0.70802,0.55603,0.61979,0.37782,0.71925,0.57325,0.61108,0.33346,1.42758,2.48511,1.79216,1.58869,0.001802,0.001802,0.001802
7,158.131,1.31557,2.17137,1.26182,1.4451,0.75814,0.66886,0.71579,0.42956,0.78641,0.64331,0.70616,0.41861,1.43072,2.14072,1.2094,1.55134,0.0017624,0.0017624,0.0017624
8,180.298,1.28187,2.11139,1.18859,1.41902,0.77976,0.59236,0.66172,0.40829,0.77421,0.59236,0.63936,0.37859,1.36944,2.11238,1.33528,1.57516,0.0017228,0.0017228,0.0017228
9,202.543,1.24365,2.02525,1.13777,1.38898,0.81193,0.6187,0.70205,0.45134,0.82238,0.6242,0.69371,0.42562,1.32915,2.18279,1.32413,1.50407,0.0016832,0.0016832,0.0016832
10,224.678,1.22603,2.06324,1.12589,1.38533,0.82299,0.66561,0.74969,0.48197,0.83143,0.67197,0.74174,0.46064,1.25504,1.90823,1.0429,1.43534,0.0016436,0.0016436,0.0016436
11,246.931,1.20542,2.01364,1.08996,1.37688,0.8177,0.71975,0.76882,0.50875,0.81979,0.70987,0.75939,0.47203,1.20476,1.90024,1.12281,1.37631,0.001604,0.001604,0.001604
12,269.192,1.15199,1.90817,1.03549,1.33489,0.8448,0.65875,0.74573,0.49362,0.85288,0.66462,0.73722,0.44842,1.28608,2.10341,1.05985,1.45339,0.0015644,0.0015644,0.0015644
13,291.276,1.13137,1.86569,0.98799,1.31871,0.8185,0.71019,0.78061,0.53918,0.82722,0.71019,0.77056,0.46988,1.12059,1.91084,0.92204,1.34457,0.0015248,0.0015248,0.0015248
14,313.522,1.13192,1.89927,1.00863,1.32077,0.83371,0.67197,0.74785,0.51047,0.83719,0.65507,0.73316,0.47397,1.15844,1.88247,1.04565,1.35107,0.0014852,0.0014852,0.0014852
15,335.729,1.11409,1.83817,0.99475,1.30809,0.82692,0.69745,0.77127,0.53848,0.82817,0.70606,0.76434,0.47774,1.09881,1.81665,1.11019,1.32463,0.0014456,0.0014456,0.0014456
